cod_localidad,id_provincia,id_departamento,categoría,provincia,localidad,nombre,domicilio,código postal,número de teléfono,mail,web
46042010,46,46042,Salas de cine,La Rioja,Chilecito,Cinema,La Plata Y 19 De Febrero,5360,4626907,ericontadoralinares@gmail.com,http://cinema3dlarioja.com/
54077060,54,54077,Salas de cine,Misiones,Puerto Rico,Cine Teatro Municipal San Martin,Av. San Martin 1474,3334,422400,cultura.puertoricomnes@gmail.com,https://www.facebook.com/Cine-Teatro-San-Martin-Puerto-Rico-Misiones-611780998973270/
54063030,54,54063,Salas de cine,Misiones,Puerto Iguazú,Cine Panoramic Grand,Paraguay 372,3370,498100,s/d,http://www.panoramicgrand.com
54028030,54,54028,Salas de cine,Misiones,Posadas,Del Conocimiento,Ruta 12 Y Acceso Oeste (Av. Ulises Lopez),3300,191010,info@imaxdelconocimiento.com,https://www.parquedelconocimiento.com/
66049040,66,66049,Salas de cine,Salta,General Guemes,Centro Cultural 13 De Febrero,20 De Febrero Esq. Gorriti,4430,496276,cine13defebrero2013@outlook.com,https://www.facebook.com/Centro-Cultural-13-de-Febrero-Cine-teatro-962533320483179/
66028050,66,66028,Salas de cine,Salta,Salta,El Teatrino,Aniceto Latorre 1211,4400,4228904,industriaculturalsrl@gmail.com,http://www.elteatrino.com/
66028050,66,66028,Salas de cine,Salta,Salta,Cinemark,Av. Monseñor Tavella 4400,4400,57771000,lventura@cinemark.com.ar,https://www.cinemarkhoyts.com.ar
66028050,66,66028,Salas de cine,Salta,Salta,Fundación Salta,General Guemes 434,4400,4320481,correofundacionsalta@gmail.com,http://www.distritoteatralsalta.com/espacio/teatro-de-la-fundacion-salta/
70028010,70,70028,Salas de cine,San Juan,San Juan,Espacio San Juan,Av. Jose Ignacio De La Roza Oeste 806,5417,4238611,cpohl@cpmcines.com,http://www.espaciosanjuan.com/
74049060,74,74049,Salas de cine,San Luis,Merlo,Cinestar,Av. Del Sol 1120,5881,475660,campos_horacio@yahoo.com.ar,https://www.facebook.com/CineStarMerlo/
74056150,74,74056,Salas de cine,San Luis,San Luis,Municipal José La Vía,Av. Lafinur Y Av. Illia S/N,5700,403539,elartenlaescuela@gmail.com,https://www.ciudaddesanluis.gov.ar/
78021040,78,78021,Salas de cine,Santa Cruz,Río Gallegos,Cine Rio Gallegos,Av. Nestor Kirchner 1142,9400,423753,socin@hotmail.com,http://www.cineriogallegos.com.ar/
78049020,78,78049,Salas de cine,Santa Cruz,Gobernador Gregores,Cine Municipal,Av. San Martin 514,9311,491228,s/d,http://www.santacruz.gob.ar
86147130,86,86147,Salas de cine,Santiago del Estero,Termas de Río Hondo,Atlas Cine,Bolivar 15,4220,55290375,rabdenur@gmail.com,http://www.santacruz.gob.ar
86119100,86,86119,Salas de cine,Santiago del Estero,Quimili,Cine Teatro,Rivadavia 553,3740,402187,sixtomadiaz@hotmail.com,https://www.municipalidaddequimili.gob.ar/
90084010,90,90084,Salas de cine,Tucumán,San Miguel de Tucumán,Atlas Cine,Av. Brigido Teran 250,4000,55290375,rabdenur@gmail.com,cineatlasweb.com.ar
82049020,82,82049,Salas de cine,Santa Fe,Avellaneda,Luna De Avellaneda,Av. San Martin 810,3561,598468,gscarel@estudioscarel.com.ar,http://www.cinelunadeavellaneda.com
82070050,82,82070,Salas de cine,Santa Fe,Esperanza,E-Max Cines,Brigadier Lopez 1471,3080,420947,martin739@gmail.com,http://www.e-max.com.ar
82021310,82,82021,Salas de cine,Santa Fe,Rafaela,Las Tipas Boulevard,C. Conscripto Zurbriggen 865,2300,405750,admin@lastipasboulevard.com.ar,www.lastipasrafaela.com.ar/
82063170,82,82063,Salas de cine,Santa Fe,Santa Fe,Centro Cultural Prov. Francisco Paco Urondo,Junin 2457,3000,4573735,cencultu@yahoo.com.ar,https://es-la.facebook.com/ccpacourondo/
82021360,82,82021,Salas de cine,Santa Fe,Sunchales,Auditorio,Ruta 34 Km 262,2322,454542,infocet@atilra.org.ar,https://www.ate.org/listado_agenda/seccion/3/zona/26/cine-auditorio-ate.html
50049050,50,50049,Salas de cine,Mendoza,Las Heras,Tadicor Las Heras,Juan Dragui Lucero 1450,5539,4864350,pcavallero@tadicor.com,http://www.tadicor.com/Cines.php
50098100,50,50098,Salas de cine,Mendoza,San Martín,Tadicor San Martin,Lateral Sur Ruta Nacional 7 Sin Nro,5570,4864350,pcavallero@tadicor.com,htpp:/www.tadicor.com sección cines 
14182060,14,14182,Salas de cine,Córdoba,Bell Ville,Sudcinemas,Mitre 61,5900,422337,sudcinemas@arnetbiz.com.ar,http://sudcinemas.com.ar/cine-wp/cine/bellville/
14014010,14,14014,Salas de cine,Córdoba,Córdoba,Dinosaurio Mall 60 Cuadras,Av. Circunvalacion Agustin Tosco 4552,5014,261500,s/d,https://www.cinesdinomall.com.ar/
14098110,14,14098,Salas de cine,Córdoba,Elena,Cine Teatro Coop Luz Y Fuerza,Mitre 31,5815,4881249,rboatti@coopluzelena.com.ar,"https://www.facebook.com › Places › Elena, Cordoba, Argentina › Movie Theater"
14161110,14,14161,Salas de cine,Córdoba,Oliva,Cine Cooperativo,Colon 301,5980,410000,administracion@coop-oliva.com.ar / sofia santolin@coop-oliva,http://coop-oliva.com.ar/
14098230,14,14098,Salas de cine,Córdoba,Río Cuarto,Cines Del Paseo,Av. Mugnaini Y Sobremonte,5800,4621235,riocuarto@cinesdelpaseo.com.ar,http://cba.gov.ar
14098230,14,14098,Salas de cine,Córdoba,Río Cuarto,Centro Cultural Leonardo Favio,Buenos Aires 55,5800,4676836,gamolayoli@hotmail.com,http://www.cba.gov.ar/
14021250,14,14021,Salas de cine,Córdoba,Salsipuedes,Dinosaurio Mall,Av. Sarmiento 1007,5113,261500,cluduena@grupodinosaurio.com,http://www.cinesdinomall.com.ar
14014010,14,14014,Salas de cine,Córdoba,Villa Rivera Indarte,Sunstar,Ricardo Rojas 9200,5008,446300,gerente.cordoba@cinesunstar.com,http://www.cinesunstar.com/
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Centro Cultural Rector Ricardo Rojas,Av. Corrientes 2038,1045,49535405,gabriel.guralnik@gmail.com,http://www.rojas.uba.ar/
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Atlas Cine,Av. Del Libertador 750,1001,43135050,info@atlascines.com.ar,cineatlasweb.com.ar
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cine Amigos Del Bellas Artes,Av. Pte. Figueroa Alcorta 2280,1425,48034062,fwhite@aamnba.org.ar,https://www.facebook.com/pg/amigosdelbellasartes/about/?ref=page_internal
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cine Teatro Gran Rivadavia,Av. Rivadavia 8636,1407,46741300,paula@granrivadavia.com.ar,http://www.granrivadavia.com.ar/inicio/
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Atlas Cine,Jeronimo Salguero 3172,1425,43135050,info@atlascines.com.ar,cineatlasweb.com.ar
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Hoyts,Melian 4880,1430,57771000,rmazzutti@hoyts.com.ar,https://www.cinemarkhoyts.com.ar/
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cinain,Moreno 1199,1091,43836432,fernandomadedo@cinain.gob.ar,http://cinain.gob.ar/
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cinema Devoto,Quevedo 3365,1417,40196019,mlopez@cinemadevoto.com.ar,https://cinemadevoto.com.ar/
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Centro Cultural Borges,Viamonte 525,1005,55555358,dpetchersky@yahoo.com.ar,https://www.ccborges.org.ar/
6882050,6,6882,Salas de cine,Buenos Aires,Zarate,Cine Teatro Coliseo,19 De Marzo 314,2800,65992021,maquintero78@gmail.com,https://es-la.facebook.com/ZarateCineTeatroColiseo/
6441030,6,6441,Salas de cine,Buenos Aires,La Plata,Cine Municipal Ecoselect,19 Y 51,1900,4248733,cineylocacioneslaplata@gmail.com,http://www.cultura.laplata.gov.ar
6357110,6,6357,Salas de cine,Buenos Aires,Mar del Plata,Cinemacenter,Alberti 1610,7600,52180400,gzamora@cinemacenter.com.ar,http://www.cinemacenter.com.ar/
6714060,6,6714,Salas de cine,Buenos Aires,Salto,Cervantes,Alvear 65,2741,551096,j.burgos.ceres@hotmail.com,http://saltoyvos.com/tag/cine_cervantes/
6035010,6,6035,Salas de cine,Buenos Aires,Avellaneda,Village,Autopista Bs. As. - La Plata Km 6,1870,51282828,village.avellaneda@village.com.ar,http://facebook.com/cinecervantes3d
6035010,6,6035,Salas de cine,Buenos Aires,Avellaneda,Carlos Carella,Av. Galicia 401,1870,37608002,edulabce@hotmail.com,www.unica-cartelera.com.ar/teatros/259-sala-carlos-carella
6490010,6,6490,Salas de cine,Buenos Aires,Lomas de Zamora,Cine Teatro Español Lomas De Zamora,Av. Hipolito Yrigoyen 9070,1832,42430381,lomasteatroespanol@gmail.com,https://www.facebook.com/cineteatroespanol/
6539010,6,6539,Salas de cine,Buenos Aires,San Antonio de Padua,Village,Av. Juan Domingo Peron 24056,1718,51688888,village.merlo@village.com.ar,https://www.villagecines.com/
6840010,6,6840,Salas de cine,Buenos Aires,Santos Lugares,Cine Teatro Ocean,Av. La Plata 3530,1676,47579861,inoya@tresdefebrero.gov.ar,https://www.tresdefebrero.gov.ar/noticias/cultura-y-educacin/reinauguracion-del-cine-teatro-ocean/
6014010,6,6014,Salas de cine,Buenos Aires,Gonzales Chaves,Cine Coliseo,Av. San Martin 235,7513,481740,sespagch@hotmail.com,https://www.facebook.com/pg/ZarateCineTeatroColiseo/about/?ref=page_internal
6105060,6,6105,Salas de cine,Buenos Aires,Bolivar,María Esther Chiquita Domeño,Av. San Martin 642,6550,480184,analia.carbajo@live.com,s/d
6861010,6,6861,Salas de cine,Buenos Aires,Munro,Centro Cultural Municipal Munro,Av. Velez Sarsfield 4650,1605,47971162,york.cultura@vicentelopez.gov.ar,https://www.vicentelopez.gov.ar/modernizacion/punto-de-interes/3-centro-cultural-munro
6408010,6,6408,Salas de cine,Buenos Aires,Hurlingham,Centro Cultural Leopoldo Marechal,Av. Vergara 2396,1686,s/d,s/d,https://www.facebook.com/pages/Centro-Cultural-Leopoldo-Marechal-Hurlingham/297621827101262
6525020,6,6525,Salas de cine,Buenos Aires,Marcos Paz,Cine Teatro Roma,Avellaneda 1950,1727,4776523,cine@marcospaz.gov.ar,https://www.facebook.com/pg/cinemarcospaz/about/?ref=page_internal
6371010,6,6371,Salas de cine,Buenos Aires,Villa Ballester,José Hernández,Balcarce 2973,1653,47675752,soteras_jh_am@hotmail.com,https://www.facebook.com/pg/CineTeatroSalaJoseHernandez/about/?ref=page_internal
6568010,6,6560,Salas de cine,Buenos Aires,El Palomar,Cine Teatro Helios,Boulevard San Martin 3076,1684,47518647,produccion@cineteatrohelios.com.ar,https://www.cinesargentinos.com.ar/horarios/c:733:cine-teatro-helios/
6441030,6,6441,Salas de cine,Buenos Aires,La Plata,Taller De Teatro - UNLP,Calle 10 1076,1900,6239105,proyeccionesterrestres@gmail.com,https://www.facebook.com/pg/Clases-de-Teatro-La-Plata-124851047580248/about/?ref=page_internal
6063010,6,6063,Salas de cine,Buenos Aires,Balcarce,Cine Paris Balcarce,Calle 18 684,7620,421703,complejoparis1@gmail.com,https://web.ultracine.com/nueva-sala-cine-paris-de-balcarce/
6294050,6,6294,Salas de cine,Buenos Aires,General Arenales,Cine Teatro Roma,Castelli 152,6005,460583,mutualafc@yahoo.com.ar,https://www.facebook.com/pages/Cine-Teatro-Roma-General-Arenales/286484061815736
6420020,6,6420,Salas de cine,Buenos Aires,San Bernardo,Cine Teatro Arenas,Chiozza 1776,7111,460050,s/d,https://www.facebook.com/pg/Cine-Teatro-Arenas-3D-San-Bernardo-309783435805259/about/?ref=page_internal
6595070,6,6595,Salas de cine,Buenos Aires,Olavarría,Cine Paris,General Paz 2720,7400,417751,complejoparis1@gmail.com,http://www.cineparis.com.ar
6042010,6,6042,Salas de cine,Buenos Aires,Ayacucho,Hugo Del Carril,Irigoyen 941,7150,454949,isaiasalgañaraz@gmail.com,https://www.facebook.com/pages/category/Government-Organization/Direcci%C3%B3n-de-Cultura-Ayacucho-1677928362483344/
6413050,6,6413,Salas de cine,Buenos Aires,Junín,Tu Cine,Jorge Newbery 263,6000,422299,condor@dimarcointernacional.com,http://www.tucine.com.ar
6861010,6,6861,Salas de cine,Buenos Aires,Olivos,Centro Cultural York,Juan Bautista Alberdi 895,1636,47119213,york.cultura@vicentelopez.gov.ar,https://www.facebook.com/cineteatroyorkolivos
6568010,6,6568,Salas de cine,Buenos Aires,Morón,Hoyts,Juan Manuel De Rosas 658,1744,54441000,rmazzutti@hoyts.com.ar,https://www.cinemarkhoyts.com.ar/
6638040,6,6638,Salas de cine,Buenos Aires,Pilar,Multiplex,Las Magnolias 754,1629,4384812,ssomma@cinesmultiplex.com.ar,https://www.multiplex.com.ar/
6497060,6,6497,Salas de cine,Buenos Aires,Luján,Cinema Rosso,Lavalle 410,6700,423954,cinema-rosso@hotmail.com,www.cinemarossolujan.com/
6588100,6,6588,Salas de cine,Buenos Aires,9 de Julio,El Cine De La Biblioteca,Mendoza Y San Martin 991,6500,457354,waltermarini@msn.com,https://www.facebook.com/bibliotecapopularjingenieros/about/
6658010,6,6658,Salas de cine,Buenos Aires,Quilmes,Cine Teatro Municipalidad De Quilmes,Mitre 721,1878,42532213,incaaquilmes@gmail.com,https://www.facebook.com/INCAAQuilmes/
6182030,6,6182,Salas de cine,Buenos Aires,Punta Alta,Cinema Colon,Rivadavia 459,8109,68643237,k.jana@cinemacolon.com.ar,http://www.cinemacolon.com.ar
6595070,6,6595,Salas de cine,Buenos Aires,Olavarría,Flix Olavarría,Rivadavia 4730,7400,444411,flix.olavarria@gmail.com,http://olavarria.flixcinema.com.ar/
6826010,6,6826,Salas de cine,Buenos Aires,Beruti,Cine Club La Luisa,San Martin 455,6424,491112,deñegacionberuti@yahoo.com.ar / bttinaty@yahoo.com.ar,s/d
6826040,6,6826,Salas de cine,Buenos Aires,30 De Agosto,Cine Teatro Santa Rosa De Lima,Santa Rosa De Lima 170,6405,471739,comprasente30deagosto@cetl.com.ar,https://www.trenquelauquen.gov.ar/noticias/30-de-agosto-funciones-en-el-cine-santa-rosa/
6861010,6,6861,Salas de cine,Buenos Aires,Munro,Lumiton,Sargento Cabral 2354,1605,45806236,lumiton.usina@gmail.com,https://www.instagram.com/lumiton_usina/
6028010,6,6028,Salas de cine,Buenos Aires,Adrogué,Cinemas Paseo Adrogué,Segui 699,1846,42140763,s/d,https://www.fandango.lat/ar/cines/cpm-cinemas-paseo-adrogue-190321-191200
6840010,6,6840,Salas de cine,Buenos Aires,Caseros,Cine Teatro Paramount,Tres De Febrero 2561,1678,47501438,inoya@tresdefebrero.gov.ar,https://www.tresdefebrero.gov.ar/tema/cine-teatro-paramount/
10049030,10,10049,Salas de cine,Catamarca,Catamarca,Cinemacenter,Av. Guemes 850,4700,4423040,centercatamarca@cinemacenter.com.ar,http://www.cinemacenter.com.ar/
22140060,22,22140,Salas de cine,Chaco,Resistencia,Espacio Incaa Guido Miranda,Colón 164,3500,4810748,lagomecita@hotmail.com,http://www.ecomchaco.com.ar/guidomiranda/default.htm
22140060,22,22140,Salas de cine,Chaco,Resistencia,Cinemacenter,Av. Lavalle 826,3500,415999,centeravalos@cinemacenter.com.ar,http://www.cinemacenter.com.ar/
22140060,22,22140,Salas de cine,Chaco,Resistencia,Cinemacenter,Av. Dr. Sabin Y Av. Nicolas Avellaneda,3500,446554,centerresistencia@cinemacenter.com.ar,http://www.cinemacenter.com.ar/
26007020,26,26007,Salas de cine,Chubut,Puerto Madryn,Cine Teatro Auditorium,28 De Julio 129,9120,455653,auditorium@madryn.com,http://www.cinemadryn.com/
26035060,26,26035,Salas de cine,Chubut,Trevelin,Espacio INCAA Trevelin,28 De Julio 414,9203,480145,culturatrevelin@gmail.com,https://cines.com/argentina/espacio-incaa-trevelin/
26077040,26,26077,Salas de cine,Chubut,Trelew,Espacio INCAA Km 1460,9 De Julio 655,9100,4969388,donato.enrique@hotmail.com,https://www.facebook.com/pg/Sala-Incaa-Km-1460-Trelew-197525007014521/about/?ref=page_internal
26035030,26,26035,Salas de cine,Chubut,Esquel,Auditorio Municipal De Esquel,Belgrano 330,9200,5081526,coordinacioncultura@yahoo.com.ar,https://www.facebook.com/CulturaEsquel/
26077040,26,26077,Salas de cine,Chubut,Trelew,Coliseo,Belgrano 375,9100,425300,delcoliseosa@speedy.com.ar,https://www.facebook.com/Cine-Coliseo-Trelew-262482040443290/
26077030,26,26077,Salas de cine,Chubut,Rawson,Centro Cultural José Hernández,Dr. Jorge Galina S/N,9103,485564,cinerawsonchubut2014@gmail.com,https://www.facebook.com/media/set/?set=a.910604218955417.1073743674...type...
26021030,26,26021,Salas de cine,Chubut,Comodoro Rivadavia,Cine Coliseo,San Martin 570,9000,6210242,cinecr@speedy.com.ar,https://www.cinesargentinos.com.ar/horarios/c:511:coliseo-comodoro-rivadavia-/
26021030,26,26021,Salas de cine,Chubut,Comodoro Rivadavia,Cine Teatro Español,San Martin 668,9000,6245762,cinecr@speedy.com.ar,http://www.cinecr.com.ar
18021020,18,18021,Salas de cine,Corrientes,Corrientes,Los Cines De La Costa,Av. Centenario 3535,3400,472200,centenario@loscinesdelacosta.com.ar,http://shopping.loscinesdelacosta.com.ar/index.php
18021020,18,18021,Salas de cine,Corrientes,Corrientes,Cinemacenter,Av. Pedro Ferre Y Chacabuco,3400,423400,centercorrientes@cinemacenter.com.ar,http://www.cinemacenter.com.ar/
18035020,18,18035,Salas de cine,Corrientes,Curuzu Cuatiá,Sociedad Rural,Beron De Astrada 641,3460,s/d,nuevocineteatrorex@gmail.com,http://cinedelarural.com.ar
18021020,18,18021,Salas de cine,Corrientes,Corrientes,Costanera,Carlos Pellegrini 451/311,3400,472200,costanera@loscinesdelacosta.com.ar,http://www.loscinesdelacosta.com.ar/
18084020,18,18084,Salas de cine,Corrientes,Ituzaingó,Leonardo Favio,Corrientes 1715,3302,404273,wilfredodavid_50@hotmail.com,https://www.facebook.com/pg/CINEITU/about/
18070020,18,18070,Salas de cine,Corrientes,Goya,Cines De La Costa,España 659,3450,472200,costanera@loscinesdelacosta.com.ar,www.micartelera.com.ar/cines.asp?id=3
18119030,18,18119,Salas de cine,Corrientes,Paso de los Libres,Cine Teatro Opera,Los 108 941,3230,424404,imc@mplibres.gob.ar,https://www.facebook.com/pg/Cineoperacorrientes/about/?ref=page_internal
30008090,30,30008,Salas de cine,Entre Ríos,San José,Cine Urquiza,25 De Mayo 1849,3283,4320151,nuevocineteatrorex@gmail.com,http://www.cineurquiza.com.ar
30105060,30,30105,Salas de cine,Entre Ríos,Victoria,Cine Teatro Victoria,Alem 64,3153,6421005,culturamdv@gmail.com,https://www.cinesargentinos.com.ar/complejo/sala-municipal-cine-teatro-victoria/
30015060,30,30015,Salas de cine,Entre Ríos,Concordia,Teatro Gran Odeon,Entre Rios 567,3200,4224758,fernandaaragon@fundacionodeon.com.ar,http://www.fundacionodeon.com.ar
30098040,30,30098,Salas de cine,Entre Ríos,Concepción del Uruguay,Cine Teatro San Martin,Estrada 820,3260,426145,estudiocginepro@gmail.com,https://www.facebook.com/cinesanmartin/
30008020,30,30008,Salas de cine,Entre Ríos,Villa Elisa,Centro Cultural La Fragua,Hector De Elia 1489,3265,481779,asociacioncivillafragua@gmail.com,https://www.facebook.com/pg/asociacioncivillafragua/about/?ref=page_internal
30084160,30,30084,Salas de cine,Entre Ríos,Paraná,Cine Rex,Monte Caseros 266,3100,4320151,nuevocinerex@gmail.com,https://www.cinerexparana.com/
30113080,30,30113,Salas de cine,Entre Ríos,Villaguay,Fundación Emilio Berisso,San Martin 540,3240,414428,cineteatroberisso@gmail.com,https://www.facebook.com/pg/CineBerisso/about/?ref=page_internal
34014020,34,34014,Salas de cine,Formosa,Formosa,Cine Teatro Italia,Av. 25 De Mayo 353,3600,436447,cineteatroitalia@formosa.gov.ar,https://www.facebook.com/cine.italia/
34014020,34,34014,Salas de cine,Formosa,Formosa,Avenida,Av. Juan Domingo Peron 757,3600,420255,jimecaceres@hotmail.com,https://www.facebook.com/pg/Cines-Avenida-112830095434025/about/?ref=page_internal
38042040,38,38042,Salas de cine,Jujuy,Palpala,Cine Teatro Altos Hornos Zapla,Av. Rio De La Plata 383,4612,4276689,claudio.caceres@imdpalpala.gob.ar,https://www.facebook.com/pg/CineAHZ/about/?ref=page_internal
38021060,38,38021,Salas de cine,Jujuy,San Salvador de Jujuy,Cine Teatro Alfa,Patricias Argentinas 360,4600,4230426,cinealfajujuy@hotmail.com,https://twitter.com/cineteatroalfa
42105030,42,42105,Salas de cine,La Pampa,Gral. Pico,Espacio Incaa-Cine & Teatro Pico,Calle 17 957,6360,421776,italianaxx@speedy.com.ar,http://www.picocine.com.ar/
42105030,42,42105,Salas de cine,La Pampa,Gral. Pico,Cine Gran Pampa,Calle 20 642,6360,421776,italianaxx@speedy.com.ar,https://cines.com › Inicio › La Pampa › General Pico
42021020,42,42021,Salas de cine,La Pampa,Santa Rosa,Amadeus,Coronel Gil 31,6300,458160,administracion@cinedonbosco3d.com.ar, www.cineamadeus.com.ar/
42021020,42,42021,Salas de cine,La Pampa,Santa Rosa,Espacio Incaa Santa Rosa,Quintana 172,6300,772893,contablecultura.santarosa@hotmail.com,https://www.facebook.com/Espacio-INCAA-Santa-Rosa-715759378505317/
46014010,46,46014,Salas de cine,La Rioja,La Rioja,Cinemacenter,Av. Abel Bazan Y Bustos 710,5300,461893,centerlarioja@cinemacenter.com.ar,http://www.cinemacenter.com.ar/
46014010,46,46014,Salas de cine,La Rioja,La Rioja,Espacio 73,Catamarca 73,5300,468432,coord.mediosaudiovisuales@gmail.com,http://www.culturalarioja.gob.ar
46014010,46,46014,Salas de cine,La Rioja,La Rioja,Cinema,Pelagio Luna 960,5300,463383,ericontadoralinares@gmail.com,http://cinema3dlarioja.com/
46014010,46,46014,Salas de cine,La Rioja,La Rioja,Cinema,San Martin 62,5300,463386,ericontadoralinares@gmail.com,http://cinema3dlarioja.com/
54091080,54,54091,Salas de cine,Misiones,Oberá,Cine Casinos,Av. Sarmiento 1044,3360,425011,cinesobera@arnetbiz.com.ar,www.cinescasinoobera.com.ar/
54028030,54,54028,Salas de cine,Misiones,Posadas,Sunstar,Bolivar 1979,3300,438666,gerente.posadas@sunstar.com,http://www.cinesunstar.com/
54091080,54,54091,Salas de cine,Misiones,Oberá,Cine Teatro Obera,San Martin 1069,3360,408625,cineteatro.obera@outlook.com,https://www.facebook.com/CineTeatroObera/
58035070,58,58035,Salas de cine,Neuquén,Neuquén,Village,Av. Antartida Argentina 1111,8300,471500,village.neuquen@village.com.ar,https://www.villagecines.com/
58035070,58,58035,Salas de cine,Neuquén,Neuquén,Cine Teatro Español,Av. Argentina 245,8300,429747,clau_diaz@hotmail.com,https://www.facebook.com/cineteatronqn/
58035040,58,58035,Salas de cine,Neuquén,Cutral-Co,Cine Rex Cutral-Co,Av. Del Trabajo 676,8200,s/d,iturbemariano@gmail.com,http://www.cinerexcutralco.com.ar/index.php
58056010,58,58056,Salas de cine,Neuquén,San Martín de los Andes,Centro Cultural Costema,Gral. Roca 1154,8370,428399,cccotesma@cotesma.com.ar,http://centrocultural.cotesma.com.ar/agenda-de-cine
58112040,58,58112,Salas de cine,Neuquén,Zapala,Cine Teatro Municipal Amado Sapag,San Martin 281,8340,421664,jjjeldrez@hotmail.com,https://www.facebook.com/Cine-Teatro-de-Zapala-1558752601048983/
62042560,62,62042,Salas de cine,Río Negro,Villa Regina,Cine Teatro Circulo Italiano,Av. Rivadavia 117,8336,4588456,espacioincaavillaregina@gmail.com,http://cineteatrocirculo.com.ar/tags/cine
62042450,62,62042,Salas de cine,Río Negro,Gral. Roca,Cine Rex,Av. Roca 1585,8332,5122308,iturbemariano@gmail.com,http://cinerexroca.com.ar
62042390,62,62042,Salas de cine,Río Negro,Cinco Saltos,Cine Teatro Español,Av. Roca 326,8303,4980122,asoc.esp.cinco.saltos@gmial.com,https://www.facebook.com/pg/Cine-Teatro-Espa%C3%B1ol-Cinco-Saltos-1534103586894165/about/?ref=page_internal
62007090,62,62007,Salas de cine,Río Negro,Viedma,Cine Gama,Gallardo 160,8500,432286,cinegama@yahoo.com.ar,https://cines.com/argentina/cine-gama/
